vol,num,corr,author,title,subtitle,editorial,series,publisher,contents
1949-1950,541,method,NOAUTHOR,"Как собирать коллекцию насекомых",NA,NA,"Центральная детская экскурсионно-туристическая станция Министерства просвещения РСФСР","Акад. пед. наук СССР",NA
1946-1948,283,nonfic,"Вялкин, А.","Календарь школьника на 1948 год",NA,NA,NA,"Краевое изд-во",NA
1932-1939,369,method,"Блох, Г. С.","Кроссворды абв..",NA,"Художн. Э. Вихман.",NA,Сотрудник,NA
1918-1931,7003,fic,"Опочинин, Е.","Сказ про птичьего ловца Никитку,",NA,"Рис. С, Герасимова.",NA,Гиз,NA
1949-1950,210,album,NOAUTHOR,Воробышко-воробей,NA,"Иллюстр. Е. В. Камшиловой.",NA,"Молотовское областное государств. изд-во",NA
1940-1945,999,method,NOAUTHOR,"Как собирать растения и составлять гербарий",NA,"Сост. Е. Кулькова.","В помощь юному натуралисту. Центр. детская экскурсионно-туристич. станция НКП РСФСР",Детиздат,NA
1932-1939,485,method,"Бутц, Ш. Ф.","Почва и растения",NA,NA,"В помощь деревенскому школьнику",Лоиз,NA
1932-1939,2312,method,"Михелян, А. А.","Работа юных авиамоделистов летом",NA,NA,"Горьковская краевая детская технич. и с.-х. станция и крайсовет Осоавиахима","Акад. пед. наук СССР",NA
1918-1931,7603,nonfic,"Пожарский, П. Ц.","Бунтовщик из вашего чайника",NA,NA,"Библиотека юного пионера. Научно-производственная серия","Огиз—Молодая гвардия",NA
1940-1945,642,album,"Даушвили, В.","Странные птицы",NA,"Иллюстр. автора.",NA,Детюниздат,NA
1932-1939,3739,nonfic,"Филистович, М. Г.","Из истории великих изобретений",NA,NA,NA,"Краевое кн-во",NA
1918-1931,7867,album,NOAUTHOR,"ПТИЧИЙ ДВОР","Картинкис текстом","Рис. С. Боим.","Библиотека «Дружные ребята»","Крестьянская газета",NA
1946-1948,1928,method,"Щукин, С.","Как вырастить капусту",NA,NA,"Центральная станция юных натуралистов Министерства просвещения РСФСР",Детгиз,NA
1918-1931,1135,nonfic,"Боголюбский, С. Н.","Как устроено и работает тело собаки и кошки",NA,"Изд. 2-е","Читальня советской школы","Работник просвещения",NA
1949-1950,1179,method,NOAUTHOR,"Программы учительских институтов","Детская литература","Составила А. Д. Гречишникова.","Главное управление высших учебных заведений Министерства просвещения РСФСР",Учпедгиз,NA
1918-1931,6511,method,"Мяздрикова, М. Н.","Лук и чеснок",NA,"Под ред. В. М. Маркова.","С.-х. библиотека пионера",Сельхозгиз,NA
1932-1939,3346,method,NOAUTHOR,"Справочник по работе юных друзей Красного креста",NA,"С предисл. С. Гарбузова и под ред. И. Брейтер.","Союз обществ Красного креста и Красного полумесяца СССР. Исполнительный комитет",Медгиз,NA
1940-1945,283,fic,"Вайло, Е. М.; Вайсерман, К. Н.","В боевые дни",Сборник,"Иллюстр. Л. Оганджанова.","Дом художеств. воспитания и технич. пропаганды им, Л. М. Кагановича","Акад. пед. наук СССР","Телеграмма товарища Сталина; Тревожная ночь; Ждем лета; На знакомом полустанке; Любимец отряда; И я участвую в войне; У станка; Зеленые враги; На сенокосе; Дары лета — Чудесная аптека; Знаешь ли ты, что.:; Готовьтесь к походам; Марш разведчиков; На привале; Измерь самого себя; Сам сшил; Козырек фуражки; Растут машинисты; Из окна вагона; Игры и аттракционы"
1918-1931,7197,method,NOAUTHOR,"ПАМЯТКА ПИОНЕРА-БЕЗБОЖНИКА",NA,NA,"Брянск. окружн. совет союза воинствующ. безбожников СССР. Брянск. окружн, бюро ДКО Ю11 при ОК ВЛКСМ","Акад. пед. наук СССР",NA
1918-1931,1518,nonfic,"Вейтков, Ф.","Дети борьбы",NA,NA,"Юные друзья МОПР","ЦК МОПР СССР",NA
1918-1931,7446,nonfic,"Пименова, Э.","На краю гибели","Из путешествий по Пентр. Азии Свена Гедина",NA,NA,"Начатки знаний",NA
1918-1931,3144,nonfic,"Енишерлов, П. [инж.]","Чудеса металлургии",NA,NA,"Библиотека юного пионера «Наука и техника»","Огиз—Молодая гвардия",NA
1940-1945,1808,nonfic,"Пилатов, Н. П.","Первое русское кругосветное плавание",NA,NA,NA,"Областное кн-во",NA
1940-1945,1588,nonfic,"Муратов, М. В.","Первые разведчики Великого пути",NA,NA,NA,Детгиз,NA
1951-1952,545,nonfic,"Дорохов, А.","Страна строит",NA,"Оформление Н. Шишловского. Страничные иллюстрации В. Бибикова. В. Богаткина, А. Кондратьева, Н. Никифорова, О. Шухвостова. Рисунки в тексте Л. Яницкого.",NA,Детгиз,"О чем эта книга. МЫ ИСПРАВЛЯЕМ ПРИРОДУ. Своенравная помощница; У воды — без воды; Три посева и один урожай; Самолет привез спешный груз; Один дождь за лето; Народ-хозяин; Огоньки на карте; От победы к победе; Великий план. МОРЯ, КОТОРЫХ НЕТ НА КАРТЕ. Зеленые защитники урожая; «Большая Волга»; Моряки в лесу; Капитан покупает учебники; Как происходят чудеса; Днепр в Крыму; Как река победит пустыню; Шесть тысяч и шесть. МИЛЛИАРД ЭЛЕКТРИЧЕСКИХ СЛУГ. Реки в упряжке; Гиганты на Волге; Там, где делают турбины; Молния мчится по проводам. ПО РЕЧНЫМ ДОРОГАМ. Куда ведет вода. Один плот и тридцать поездов; Многоэтажная река; Пароход поднимается по лестнице; Из Архангельска в Ялту на пароходе. МАШИНЫ-ВЕЛИКАНЫ. По стране бегут поезда; Электрический землекоп; Вода строит канал; Туннель в степи; Завод без рабочих; Дорога приехала на поезде; Пароход для вагонов; Грузовики-исполины; По шоссе катится дом; Повелители машин; В борьбе со стихией. СТРАНА СТРОИТЕЛЕЙ. «Волга» на Кавказе; О бетоне, траве и рыбах; Мрамор отразится в воде; Посылка из Ашхабада. ТАК БУДЕТ. Сказки становятся былью; Преображенная земля; По пустыне идет пароход; Город без дыма; Мы строим коммунизм"
1932-1939,179,nonfic,"Баев, К. Л. [проф.]; Шишаков, В. А.","О солнечном затмении 19 июня 1936 года",NA,"Под ред. проф. А. А. Михайлова.","Научные беседы выходного дня","ОНТИ, Главная ред. научно-попул. и юношеской лит-ры",NA
1932-1939,4046,method,"Шмакова, А.","Педальный роллер",NA,NA,"Центр. детская технич. станция им. Н. М. Шверника","Акад. пед. наук СССР",NA
1918-1931,5722,method,NOAUTHOR,"ЛЫЖНАЯ ВЫЛАЗКА",NA,NA,"Центр детск. физкульт. и оздоровит, станция","Физкультура и спорт",NA
1940-1945,968,nonfic,NOAUTHOR,"Как мы живем. (Письма советских детей.) Собрали Б. и Н",Иван-тер,NA,"Библиотечка пионервожатого","Огиз—Молодая гвардия",NA
1918-1931,10622,method,"Шиллингер, О.","Октябрь в пионерском клубе",NA,"Под ред. 3. И. Лилиной.",NA,Гиз,NA
1949-1950,622,method,NOAUTHOR,"Конкурс «Умелые руки»","Задания 4—6",NA,"Костромская областная станция юных техников и натуралистов. Заочный клуб юных мастеров","Акад. пед. наук СССР",NA
1918-1931,2832,album,NOAUTHOR,"ДИКИЕ ЗВЕРИ",NA,"Рис. А. Пестун-Дибровского.",NA,Культура,NA
1940-1945,1810,method,"Пинский, Н. С.","Личные средства защиты от OB",NA,NA,"Пионер! Будь готов к противохимической защите",Детгиз,NA
1951-1952,1916,nonfic,"Якубенко, А. В.","Кровь и кровообращение","С иллюстрациями",NA,"В помощь школьнику",Детгиз,NA
1932-1939,2258,nonfic,"Митрофанов, Н. М.","Техника в моделях","Модели по технологии горного и металлургии. производства","Илл. Н. Смольянинова.",NA,"ОНТИ, Главная ред. научно-попул. и юношеской лит-ры",NA
1932-1939,1899,fic,"Лебедев-Курган, Н.","Машинист Пустынин",NA,"Рис. Г. Нисского.",NA,"Огиз—Молодая гвардия",NA
1918-1931,10252,nonfic,"Чибизянов, Д.","Под знойным солнцем","В полях и джунглях Индии",NA,"Читальня советской школы","Работник просвещения",NA
1918-1931,10752,method,"Щербаков, В. С.","Наблюдения над насекомыми при помощи самодельных приборов","Для любителей, учащих и учащихся","Изд. 2-е",NA,Гиз,NA
1918-1931,2059,fic,"Геллер, И.","Евреи на земле",Сборник,NA,"Библиотека школьника",Гиз,NA
1949-1950,521,method,NOAUTHOR,"Инструкция по конкурсу на лучшего юного сборщика семян древесных и кустарниковых растений","С письмом к Т. Д. Лысенко «Поможем Родине победить засуху!»",NA,"Свердловский обком ВЛКСМ. Свердловская станция юных натуралистов","Акад. пед. наук СССР",NA
1918-1931,8027,method,NOAUTHOR,"РЕБЯТАМ О ПАСХЕ",NA,NA,NA,Безбожник,NA
1932-1939,2432,method,"Несмелов, Б. К.","Рыбы и рыболовство Ленинградской области и Карелии",NA,NA,"Краевая рабочая библиотека школьника ФЗС","Огиз — Учпедгиз",NA
1918-1931,5011,method,"Крюгер, Е. В.","Электрическая машина и опыты с нею",NA,NA,"Библиотека журн. «В мастерской природы». Для умелых рук","Научное кн-во",NA
1932-1939,2255а,method,"Митрофанов, Н. М.","Телеграф и телефон в кружке юных техников","Самодельный аппарат связи","Под ред. инж. Е. А. Николаева.",NA,ОНТИ,NA
1949-1950,200,nonfic,"Винокуров, И.; Флорич, Ф.","По- Южному Сахалину",NA,"Иллюстр. В. Ал-феевского.","Наша Родина",Детгиз,NA
1918-1931,7398,album,"Пестун-Дибровский, А.","Птицы и птички",NA,NA,NA,Культура,NA
1932-1939,1046а,method,"Гурьева, К. С.; Фролова, Д. А.; Шестакова, В. В.",Игрушка-самоделка,NA,NA,NA,"Азово-Черноморское краевое кн-во",NA
1940-1945,1397,album,NOAUTHOR,"Маленький художник",Книжка-раскраска,"Иллюстр. В. Бирюкова.",NA,Ростиздат,NA
1918-1931,2552,method,"Гусев, А. И.",Вместе,"Соревнование детей с родителями","Рис. Б. Нечаева.",NA,"Огиз—Молодая гвардия",NA
1949-1950,439,method,NOAUTHOR,"Жизнь и творчество В. Маяковского","Материал  и детской библиотеке к 20-летию со дня смерти поэта","Составитель А. Г. Бромберг. Обложка, титул и заставки П. Кузаняна.","Дом детской книги Детгиза. Школьная библиотека",Детгиз,NA
1918-1931,1670,fic,NOAUTHOR,ВЕСНОЙ,NA,"Рис. К. Спасского.",NA,"Новая деревня",NA
1940-1945,2319,fic,"Тимофеев, Б.","Две собачки",NA,"Иллюстр. Н. Муратова.",NA,"Огиз—Молодая гвардия",NA
1949-1950,1539,fic,NOAUTHOR,"Уральские огоньки. № 2",NA,NA,NA,"Челябинское областное государств, изд-во","Л. Татьяниче-ва. Наш Пушкин. (Стихотворение; В. Васнецов. Сергей Львович Ушков. (Очерк.) — С. Л. Ушков. Косули. (Очерк.) — В. Васнецов. Бобры в Ильменском заповеднике. (Очерк.) Детское творчество. (Раздел оформлен художником П. Кусковым.) Элла Жакова. Пушкин. (Стихотворение.)— Миша Барер. Победный Май. (Стихотворение.) —У нас в детском доме; Нюся Замотаева. У каждого своя грядка; Павлик Зотов. В поход на грызунов; Боря Рябов. Карка; Лида Келш. Чилим! Чилим! — Боря Валеев. . В Артек; Боря Борисенко. Первая победа; Рената Евдокимова Касли. (Стихотворение.) — Неля-Чацкая. 8 марта. (Стихотворение.) — Леня Комаров. Пернатый гость. (Стихотворение.) — Юные художники; Ответы на загадки, ребусы и пр. в № 1 «Уральские огоньки». Фамилии ребят, приславших правильные ответы"
1918-1931,10000,nonfic,"Хейсин, М.","Как Вася стал кооператором",NA,NA,NA,"Начатки знаний",NA
1918-1931,2756,fic,NOAUTHOR,"ДЕТИ ОКТЯБРЯ",NA,"Под ред. И. С. Рабиновича.","Библиотека «Молодого рабочего». Дети труда и борьбы","Огиз—Молодая гвардия",NA
1918-1931,2973,fic,NOAUTHOR,ДОН-КИХОТ,"История удивительного рыцаря",NA,NA,"И. Д. Сытин",NA
1918-1931,3173,method,"Ефимов, Е.","Юный кооператор","Как организовать школьный кооператив и вести работу в нем",NA,NA,Знание,NA
1946-1948,261,method,NOAUTHOR,"В помощь юному путешественнику и руководителю похода по изучению родного края",NA,NA,"Областной комитет ВЛКСМ","Акад. пед. наук СССР",NA
1918-1931,37,nonfic,"Аверин, В.",Весик,"История одного хорька","Изд. 2-е",NA,"Бессарабское кн-во",NA
1918-1931,3520,nonfic,"Заславский, Д.","Пионер номер первый",NA,"Рис. Б. Покровского.","Ударные книжки","Огиз—Молодая гвардия",NA
1946-1948,1766,fic,NOAUTHOR,"Уральские огоньки","Альманах  № 1","Обложка Фехнера.",NA,Челябгиз,"Н. Кутов. Повсюду огоньки горят. (Рис. Фехнера.) — Н. Заржевский. Уралочка. (Рис. Алюхина.) — Г. Тюричев. Советский воин; Н. Заржевский. Песня о родине. (Рис. Фехнера.) — A.  Подклетнов. Сын; Л. Преображенская. Наша улица. (Рис. Че-линцевой.) — Л. Шнейдер. Чемпион. (Рис. Фехнера.) — В. Галенко. Весенняя картинка. (Рис. Че-линцевой.) — Я. Вахменцев. Наша река. (Рис. Фехнера.) — Л. Шнейдер. Как мы путешествовали. (Рис. Челинцевой.) — Н. Кутов. Какое большое море? (Рис. Фехнера.) —• Н. Кутов. Письмо из Ашхабада. (Рис. Фехнера.) — В. Кузнецов. Три автобуса. (Рис. Челинцевой.) — Л. Преображенская. Пропавшая грамота. (Рис. Челинцевой.) — B.  Кузнецов. Мчится поезд. (Рис. Челинцевой.) — Г. Спектор. Памятный подарок. (Рис. Фехнера.) — И. Иванов. В поле. (Рис. Челинцевой.) — Для           маленьких: И. Иваное. Про рыбака, волка и лису. (Рис. Челинцевой.) — Л. Преображенская. Тараторочка. (Рис. Челинцевой.) — В. Кузнецов. Хороший денек. (Рис. Алюхина.) — Л. Преображенская. Ваня в лесу. (Рис. Челинцевой.) — В. Кузнецов. Считалки. (Рис. Фехнера.) — В. Кузнецов. Комар. (Рис. Челинцевой.) — Котюжинский. Десять братьев. Детское творчество: В. Кузнецов. Литературный кружок; Р. Столбушкин. Сталинский Урал; Р. Столбушкин. Первое мая; В. Садаков. Первый лагерный день Еремы. (Рис. Фехнера.) — В. Садаков. Купанье. (Рис. Фехнера.) — Л. Хас-кин. Уважительные причины; Ж. Подклетнова. Воробей; Г. Щербин. Раколовы. (Рис. Фехнера.) — Л. Хаскин. Утро. В родном краю: Л. Преображенская. Музей в селе Уйском. (Рис. Челинцевой.) — О. Колесникова. В гостях у юных натуралистов. (Рис. Челинцевой.) Памятные даты:  Е. Салтейский. Белинский. К 100-летию со дня смерти. (Рис. Фехнера.) — Е. Салтейский. Горький. К 80-летию со дня рождения. (Рис. Фехнера.) Книжная п о лк а: Ф. Ефимов. Книга уральских ребят. (Заставка Фехнера.) Будь сильным, ловким и смелым: Л. Шнейдер. Учись плавать брассом. (Заставка и рис. Утца.) — В часы досуга. (Рис. Фехнера.)"
1918-1931,7370,nonfic,"Перовский, Е. И.","По-божьему или по науке",NA,NA,"Антирелигиозная литературно-художественная библиотечка школьника 1 ступени",Гиз,NA
1932-1939,22,nonfic,"Авсюкевич, В. Д.","Как живет и работает воздушный флот","Моторист Илья Дятлов","Обл. М. Р.","Краев. библиотека школьника","Огиз — Гос. учебно-педагогич. изд-во",NA
1918-1931,10532,nonfic,"Шевяков, В.","Как делали паровоз",NA,NA,NA,"Огиз—Молодая гвардия",NA
1918-1931,290,album,NOAUTHOR,"АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ",NA,NA,NA,"Акад. пед. наук СССР",NA
1918-1931,7575,fic,NOAUTHOR,"ПОД ГНЕТОМ",Сборник,"Под ред. Н. Богданова. Рис. С. Герасимова. М.","Новая детская библиотека",Гиз,NA
1918-1931,7400,album,"Петри, А.","Раскраска. № 2","Картинки для раскрашивания","№ 2. Изд. 2-е",NA,Радуга,NA
1918-1931,4242,album,NOAUTHOR,"КАРТИННАЯ ГАЛЛЕРЕЯ МОЕЙ РАБОТЫ",NA,"Картинки для раскрашивания.",NA,"Начатки знаний",NA
1918-1931,6234,nonfic,"Меркульева, К. А.","Кем я хочу быть","Техника различных производств","Рис. Е. Бургункера, М. Дорогова, К. Дорохова.",NA,"Огиз—Молодая гвардия",NA
1949-1950,881,nonfic,"Меркульева, К.","Хозяева зеленого мира","Как советские люди управляют природой растений. Научный консультант кандидат сельскохозяйственных наук И. А. Сизов",NA,NA,Детгиз,NA
1918-1931,7728,album,"Поспелова, Н.",Лото,"Кто чем работает","Рис. Ф. Кондратова.","Настольные игры",Гиз,NA
1918-1931,5196,method,NOAUTHOR,ЛАГЕРЬ,NA,NA,"«Слушай, пионер»",Гиз,NA
1918-1931,1510,method,"Вейгелин, К. Е.","Как делать и пускать воздушные змеи",NA,NA,"Библиотека журн. «В мастерской природы». Для умелых рук","Научное кн-во",NA
1918-1931,10679,nonfic,"Шмидт, П. Ю.","Занимательная зоология","Очетжи и набооски из жизни животного царства","Ч. 2-я",NA,"Начатки знаний",NA
1918-1931,5505,nonfic,"Лещинская, С. И.","Ткач Петр Алексеев",NA,NA,"Библиотека юного ленинца","Всеукр. о-во содейств. юному ленинцу",NA
1918-1931,2469,nonfic,"Гугуев, П. А.","Мы вёрнемся","О Кантонском восстании 1927 г",NA,NA,"Огиз—Молодая гвардия",NA
1918-1931,2435,method,"Громова, А. И.","Самодельные игрушки","Картинки с пояснительным текстом",NA,NA,Гиз,NA
1918-1931,9268,fic,"Терещенко, М.",Сенька-арсеналец,NA,"Рис. Б. Крюкова.",NA,Культура,NA
1951-1952,1908,method,NOAUTHOR,"Юным натуралистам",NA,"Составитель В. Корчагина. Оформление В. Лазаревской. Цветные иллюстрации (вклейки) А. Стахеевой, Т. Коцу-бей, Т. Щербиновской и В. Белышева.","Школьная библиотека",Детгиз,NA
1932-1939,1385,method,"Зиф, О.","Твои друзья","Беседа о детях за рубежом",NA,"Библиотечка пионервожатого «Читай и обсуждай на сборах»","Огиз—Молодая гвардия",NA
1918-1931,2453,method,NOAUTHOR,"ГРЯДКА С ЗЕМЛЯНИКОЙ",NA,NA,"Центр. бюро юных натуралистов при Главсоцвосе НКП. В помощь юному натуралисту. Серия 1-я. Весна","Огиз—Молодая гвардия",NA
1940-1945,1897,fic,NOAUTHOR,"Про двух зайчиков",NA,NA,NA,"изд. Моск. кассы взаимопомощи пенсионеров научн. работников",NA
1946-1948,1930,method,"Щукин, С.","Как вырастить томаты","Выращивание тыкв и кабачков",NA,"Центральная станция юных натуралистов Министерства просвещения РСФСР",Детгиз,NA
1918-1931,7581,nonfic,"Подпольный, Н.","Путешествие северной сосны за границу",NA,NA,"Сев. краев, библиотека школьника","Гиз — Сев. краев. отд-ние",NA
1918-1931,8855,method,"Смоляров, Я.; Потапов, Н.","Смычка с солнцем и деревней","Пи-ионерский лагерь",NA,"Библиотека юного пионера","Огиз—Молодая гвардия",NA
1946-1948,442,method,NOAUTHOR,Детгиз,"Каталог книг. 1946","Обложка по эскизу художн. С. Те-лингатера.",NA,Детгиз,NA
1951-1952,159,fic,"Боголюбов, С.; Богословский, Н.","Боевые ребята","Выпуск четырнадцатый","Обложка О. Коровина.",NA,"Свердловское областное государств. изд-во","В. Стариков. Большой шагающий. (Рассказ.); Ю. Хазано-вич. Землесосный снаряд. (Рассказ.); С. Васильев. Волга-Дон. (Стихи.); В. Шустов. Правильный курс. (Рассказ.); Г. Ожоговская. Ученики третьего класса. (Главы из повести.); А. Бе-лянинов. Костина обида. (Рассказ.); Л. Федоров. Душевный камень. (Рассказ.); Е. Долинова. Наша мама. (Стихи.); Е. Покровская. Звонок. (Стихи.); В.  Батманов. Компас времен года. (Рассказ.) В ЧАСЫ ДОСУГА. Книжная полка; Задача; Интересное сложение; Лабиринт; Ребус; Арифметические головоломки; Головоломка; Какое число я задумал? — Географическая задача; Сделайте этот прибор; Ответы на вопросы; Ответы на ребусы и кроссворды, помещенные в «Боевых ребятах» № 13"
1918-1931,1450,nonfic,"Васькевич, Д.; Руф, В.","Осторожно, яд","Опыты с отравляющими веществами",NA,"Библиотека пионера-активиста. Серия «Пионер, крепи оборону страны»","Огиз—Молодая гвардия",NA
1932-1939,2265,nonfic,"Михайлова-Штерн, М. С.",Шопен,"Картины из жизни",NA,"Жизнь замечательных музыкантов. Для пионера и школьника",Музгиз,NA
1932-1939,2758,method,NOAUTHOR,"Пионерский лагерь",NA,NA,NA,Ленизо,NA
1932-1939,3883,method,NOAUTHOR,"Чертежи самоделок","К конкурсу на лучшие модели, проекты и игрушки-самоделки",NA,"Моек. гор. отдел нар. образ, и Моек, дом пионеров и октябрят","Акад. пед. наук СССР",NA
1940-1945,2721,nonfic,"Щербиновский, Н. С.","Шестиногие враги",NA,"Рис. Е. Рачева.",NA,Детиздат,NA
1918-1931,7585,method,"Подугольников, М.","К весенней работе юннатов","От Крайбюро юннатов. Директивы крайоно и крайкома ВЛКСМ. Поход за урожай, «день птиц», «день леса»",NA,"Н.-Волжск. краев, отд. народи, образ. Краевое бюро юных натуралистов","изд. Н.-Волжск. крайоно",NA
1918-1931,8467,method,"Семенников, А. Г.","Пионерам о работе колхозного отряда",NA,NA,"Библиотечка всесоюзн. перевыборов пионерактива","Огиз—Молодая гвардия",NA
1932-1939,1032,fic,"Гудов, И.","Годы и минуты",NA,"Под ред. Л. Кассиля. Рис. П. Алякринского.",NA,Детиздат,NA
1918-1931,9475,fic,"Тубельский, Л.","Два ленинца",NA,NA,"Дешевая книжка пионера",Прибой,NA
1918-1931,6980,fic,"Олесь, О.",Елочка,Стйхи,"Рис. Т. Москалевой.",NA,Культура,NA
